date,open,high,low,close,adjusted close,volume,dividend amount
31-05-11,25.94,26.25,24.03,25.01,20.3464,1364062800,0.16
29-04-11,25.53,26.87,24.72,25.92,20.95,1313844800,0
31-03-11,26.6,26.78,24.68,25.39,20.5217,1310885200,0
28-02-11,27.8,28.34,26.43,26.58,21.4835,1114368500,0.16
31-01-11,28.05,29.46,27.42,27.725,22.2767,1361258700,0
31-12-10,25.57,28.4,25.56,27.91,22.4254,1033710000,0
30-11-10,26.88,27.49,24.93,25.2575,20.2941,1361176300,0.16
29-10-10,24.49,27.2,23.78,26.665,21.293,1281432800,0
30-09-10,23.67,25.53,23.54,24.49,19.5562,1273139500,0
31-08-10,25.99,26.38,23.32,23.465,18.7377,1279372100,0.13
30-07-10,23.09,26.41,22.73,25.81,20.5024,1408590600,0
30-06-10,25.53,26.93,22.95,23.01,18.2782,1671811600,0
28-05-10,30.67,31.0606,24.56,25.8,20.4945,1720130200,0.13
30-04-10,29.35,31.58,28.62,30.535,24.146,1319029500,0
31-03-10,28.77,30.57,28.24,29.2875,23.1595,1110237200,0
26-02-10,28.39,29.03,27.57,28.67,22.6712,1074643300,0.13
29-01-10,30.62,31.24,27.66,28.18,22.182,1359650900,0
31-12-09,29.52,31.5,29.25,30.48,23.9925,920605500,0
30-11-09,27.7,30.14,27.41,29.41,23.1502,1018256700,0.13
30-10-09,25.405,29.35,24.43,27.73,21.7336,1523430100,0
30-09-09,24.35,26.25,23.76,25.72,20.1583,1038979700,0
31-08-09,23.82,25.49,23.03,24.65,19.3197,993250400,0.13
31-07-09,24.05,25.72,22,23.52,18.3329,1517459800,0
30-06-09,21,24.34,20.86,23.77,18.5278,1411144700,0
29-05-09,20.19,20.94,19.01,20.89,16.283,1101122400,0.13
30-04-09,18.23,21.2,18.18,20.26,15.6915,1562400700,0
31-03-09,16.035,18.88,14.87,18.37,14.2276,1625752800,0
27-02-09,17.01,19.93,16.1,16.15,12.5082,1456213400,0.13
30-01-09,19.5328,21,16.75,17.1,13.1495,1564043400,0
31-12-08,19.875,21.25,18.47,19.44,14.9489,1546943400,0
28-11-08,22.48,23.66,17.5,20.22,15.5487,1794911800,0.13
31-10-08,26.38,27.47,20.65,22.33,17.0583,3044579400,0
30-09-08,27.665,27.76,23.5,26.69,20.3889,1927538700,0
29-08-08,25.95,28.5,25.07,27.29,20.8473,1206949700,0.11
31-07-08,27.22,27.91,24.87,25.72,19.5692,1579425446,0
30-06-08,28.24,29.57,27.11,27.51,20.9311,1560439100,0
30-05-08,28.48,30.53,27.95,28.32,21.5474,1405170200,0.11
30-04-08,28.83,32.1,27.93,28.52,21.6197,1444720000,0
31-03-08,27.24,29.59,26.87,28.38,21.5136,1452390200,0
29-02-08,31.06,33.25,27.02,27.1999,20.619,2324580800,0.11
31-01-08,35.79,35.96,31.04,32.6,24.6164,1950301600,0
31-12-07,33.5,36.72,32.63,35.6,26.8817,1064817100,0
30-11-07,36.53,37.5,32.68,33.6,25.3715,1830846800,0.11
31-10-07,29.46,37,29.29,36.81,27.707,1772076700,0
28-09-07,28.5,29.85,28.27,29.46,22.1746,1117419500,0
31-08-07,28.97,30.1,27.51,28.73,21.6251,1228579500,0.1
31-07-07,29.67,31.84,28.95,28.99,21.7439,1295548000,0
29-06-07,30.79,30.9,29.04,29.47,22.1039,1181412800,0
31-05-07,29.94,31.16,29.9,30.6901,23.0191,1327154700,0.1
30-04-07,27.89,30.74,27.56,29.94,22.384,958964900,0
30-03-07,27.82,28.55,26.6,27.87,20.8364,1269506500,0
28-02-07,30.84,30.94,27.79,28.17,21.0607,1290850900,0.1
31-01-07,29.91,31.48,29.4,30.86,22.9926,1324518200,0
29-12-06,29.23,30.26,28.8,29.86,22.2475,1137160900,0
30-11-06,28.78,30.0001,28.58,29.36,21.875,1239142000,0.1
31-10-06,27.32,28.8501,27.15,28.71,21.3178,1290967400,0
29-09-06,25.89,27.52,25.39,27.35,20.3079,1097482600,0
31-08-06,24.02,26.2501,23.85,25.7,19.0828,1134188400,0.09
31-07-06,23.53,24.6,22.23,24.06,17.8,1332298100,0
30-06-06,22.74,23.65,21.4599,23.3,17.2377,1971637200,0
31-05-06,24.33,25,22.45,22.65,16.7568,2309193400,0.09
28-04-06,27.67,27.941,24,24.15,17.7974,1446126900,0
31-03-06,26.99,28.22,26.62,27.21,20.0524,1437940900,0
28-02-06,27.95,28.07,26.34,26.87,19.8019,1047699000,0.09
31-01-06,26.25,28.38,26.1,28.15,20.6759,1388622700,0
30-12-05,27.73,28.101,26.1,26.15,19.207,1271695500,0
30-11-05,25.61,28.25,25.61,27.68,20.3307,1444948300,0.08
31-10-05,25.71,25.8,24.25,25.7,18.8217,1439659900,0
30-09-05,27.38,27.39,25.12,25.73,18.8437,1348861500,0
31-08-05,25.82,27.94,25.76,27.38,20.0521,1441979300,0.08
29-07-05,24.85,26.48,24.5,25.61,18.7006,1321407700,0
30-06-05,25.73,26,24.82,24.84,18.1384,1303029500,0
31-05-05,25.23,26.09,24.31,25.8,18.8394,1270563700,0.08
29-04-05,24.24,25.45,23.94,25.3,18.4165,1520253700,0
31-03-05,25.2,25.79,23.82,24.17,17.5939,1541411300,0
28-02-05,26.25,26.5,25.1296,25.16,18.3146,1361126000,0.08
31-01-05,26.8,27.1,25.64,26.28,19.071,1521414300,0
31-12-04,26.95,27.44,26.679,26.72,19.3903,1803777700,0
30-11-04,28.15,30.2,24.86,26.81,19.4556,1739407300,3.08
29-10-04,27.81,28.89,27.42,27.97,18.2457,1300591200,0
30-09-04,27.24,27.79,26.74,27.65,18.0369,1141012300,0
31-08-04,28.27,28.55,25.95,27.3,17.8086,1094195300,0.08
30-07-04,28.69,29.89,27.25,28.49,18.5305,1550446900,0
30-06-04,26.12,28.8,25.86,28.56,18.576,1534889700,0
28-05-04,26.21,26.6,25.42,26.23,17.0605,1141456900,0
30-04-04,24.95,27.72,24.85,26.13,16.9955,1558947800,0
31-03-04,26.65,26.72,24.01,24.93,16.215,1703041000,0
27-02-04,27.63,27.8,26.35,26.53,17.2556,1032065600,0
30-01-04,27.58,28.83,27.26,27.65,17.9841,1232189000,0
31-12-03,25.9,27.55,25.5,27.37,17.802,1476461300,0
28-11-03,26.35,26.75,24.84,25.71,16.7223,1442336700,0
31-10-03,28.03,29.46,25.91,26.14,17.002,1400032500,0.16
30-09-03,26.7,30,26.47,27.8,17.9827,1253309100,0
29-08-03,26.33,26.95,25.43,26.52,17.1547,966506900,0
31-07-03,25.59,27.81,25.39,26.41,17.0836,1292011000,0
30-06-03,24.98,26.51,23.6,25.64,16.5855,1569995800,0
30-05-03,25.54,26.5,23.89,24.61,15.9192,1311003700,0
30-04-03,24.46,26.43,23.95,25.57,16.5402,1249617700,0
31-03-03,24.02,26.8,22.55,24.21,15.6605,1371902600,0
28-02-03,47.93,49.1,23.3,23.7,15.3306,910628150,0.08
31-01-03,52.3,57.32,47.03,47.46,15.3001,859331100,0
31-12-02,58.65,58.96,51.26,51.7,16.667,634185100,0
29-11-02,52.43,58.64,51.9,57.68,18.5948,777998600,0
31-10-02,44.32,54.07,43.19,53.47,17.2376,1237685300,0
30-09-02,48.52,51.1,43.11,43.74,14.1008,847852900,0
30-08-02,47.58,53.45,43.8,49.08,15.8223,857878600,0
31-07-02,54.12,54.93,41.41,47.98,15.4677,1216094000,0
28-06-02,50.99,56.44,49.17,54.7,17.6341,917036500,0
31-05-02,52.16,56.44,48.35,50.91,16.4123,710133100,0
30-04-02,59.83,60.4,51.44,52.26,16.8475,708739700,0
28-03-02,59.05,65,58.31,60.31,19.4427,536622100,0
28-02-02,64.15,64.5,57.15,58.34,18.8076,565579600,0
31-01-02,66.65,70.62,61.33,63.71,20.5387,680057900,0
31-12-01,63.83,69.89,63.8,66.25,21.3576,488544500,0
30-11-01,60.08,68.34,59.6,64.21,20.6999,665484300,0
31-10-01,50.94,63.63,50.41,58.15,18.7463,875445500,0
28-09-01,57.19,59.08,47.5,51.17,16.4961,755412200,0
31-08-01,66.8,67.54,56.3,57.05,18.3917,576948200,0
31-07-01,72.05,73.15,64.2,66.19,21.3382,727600500,0
29-06-01,69.6,76.15,66.01,73,23.5336,724588900,0
31-05-01,67.66,72.15,67.25,69.18,22.3021,888652900,0
30-04-01,54.81,71.1,51.06,67.75,21.8411,1037903500,0
30-03-01,58.56,61.13,49.75,54.69,17.6309,947674900,0
28-02-01,60.81,65.06,53.88,59,19.0203,768447800,0
31-01-01,44.13,64.75,42.88,61.06,19.6844,1002765600,0
29-12-00,58.06,60.63,40.31,43.38,13.9848,1028334100,0
30-11-00,68.5,72.37,57,57.38,18.4981,991731300,0
31-10-00,60.5,70.12,48.44,68.87,22.2022,1234707800,0
29-09-00,70,72.06,58.63,60.31,19.4427,712766900,0
31-08-00,69.94,74.87,68.12,69.81,22.5052,609699900,0
31-07-00,79.69,82.87,67.25,69.81,22.5052,617092900,0
30-06-00,64.37,82.19,63.81,80,25.7903,733525100,0
31-05-00,72.87,74,60.38,62.56,20.168,672215400,0
28-04-00,94.44,96.5,65,69.75,22.4859,1129073300,0
31-03-00,89.62,115,88.94,106.25,34.2527,1014093800,0
29-02-00,98.5,110,88.12,89.37,28.811,667243800,0
